"Video ID",Title,Length,Published
Kp8ObEyC9zE,"Té: nuevas ideas para la segunda bebida más consumida del mundo | DW Documental","25m 6s","2022-04-16T19:00:13Z"
2z3l2AcXlWw,"Drones, hackers y mercenarios - Los campos de batalla del futuro | DW Documental","42m 26s","2022-04-14T19:00:01Z"
Jk3CDly5CE4,"El poder de la mafia de la droga - La cocaína y los Países Bajos | DW Documental","28m 27s","2022-04-12T19:00:06Z"
fgSw2gMrsFA,"¿Podemos reinventar nuestras ciudades para vivir mejor? | DW Documental","26m 2s","2022-04-10T19:00:10Z"
5fM2z0xZ2XI,"Inundaciones y sequías en Nepal - Las consecuencias del cambio climático | DW Documental","51m 56s","2022-04-09T19:00:02Z"
FoOozt9ycv8,"La misteriosa enfermedad que afecta a millones de personas en todo el mundo | DW Documental","42m 27s","2022-04-07T19:00:04Z"
WmNk2XRPDxQ,"Huida de la guerra de Ucrania - La historia de Tanya | DW Documental","28m 32s","2022-04-05T19:00:09Z"
WMdmJJG1Bmo,"¿Cómo afectan las caricias nuestra salud mental y física? | DW Documental","51m 57s","2022-04-02T19:00:08Z"
LKoCygaU0Lk,"¿Qué papel desempeñan los productos halal en la economía? | DW Documental","42m 26s","2022-04-01T19:00:10Z"
uT7bbsfDEEk,"Hombre con recuerdos de mujer - Nací de nuevo en Berlín | DW Documental","51m 56s","2022-03-30T19:00:17Z"
73mCrzjgeo4,"Guerra en Ucrania: ¿quedarse o huir? | DW Documental","28m 27s","2022-03-29T19:00:03Z"
7506JHIIsc0,"La primera supermodelo con síndrome de Down | DW Documental","42m 27s","2022-03-25T20:00:01Z"
"Cw-qHZemygI","Geopolítica sobre los escombros de la Unión Soviética | DW Documental","51m 57s","2022-03-23T20:00:06Z"
dSPio3_y228,"Ucranianos huyendo de las tropas de Putin | DW Documental","28m 27s","2022-03-22T20:00:09Z"
OXmeH6s9ffI,"Escasez de agua y embalses vacíos - La gran sequía | DW Documental","42m 27s","2022-03-20T20:00:08Z"
"wCjS-p-jt9o","Empresarios negros en Estados Unidos | DW Documental","42m 26s","2022-03-18T20:00:11Z"
_bp1mbDlJXY,"Lucha contra la mutilación genital femenina | DW Documental","28m 27s","2022-03-15T20:00:07Z"
G1IS73YVtSo,"La Amazonía en peligro: los pueblos originarios y su lucha por la selva | DW Documental","1h 24m 2s","2022-03-10T20:00:04Z"
vr4KGavZa2s,"Lucha por los rinocerontes africanos | DW Documental","28m 27s","2022-03-09T19:45:00Z"
1GJNKACLbZw,"¿Nuevos bosques para proteger mejor nuestro clima? | DW Documental","25m 56s","2022-02-27T20:00:01Z"
hr8vNsWdyhE,"Glacier Express: en tren de Sankt Moritz al monte Cervino | DW Documental","42m 26s","2022-02-24T20:00:15Z"
"5MD796M-JLU","Volver a empezar en Chernóbil | DW Documental","28m 27s","2022-02-22T20:00:00Z"
