"Video ID",Title,Length,Published,"Region Restriction Count"
8vILtP8rLQs,"Did Our Son Murder Our Daughter???",52s,"2022-08-05T16:53:56Z",""
9flhtIASMn8,"Men Vs Money: Exploring Modern Masculinity (Grayson Perry Documentary) | Real Stories","47m 20s","2022-08-04T16:00:09Z","5 (blocked)"
QX_GfQDja5k,"Prisoner Shannon Meets His Assigned Puppy",47s,"2022-08-03T16:00:12Z",""
"gxx9OvvP-F0","Skeptics Vs Believers: Superstitious Minds (Irrational Beliefs Documentary) | Real Stories","41m 48s","2022-08-02T16:00:20Z","9 (allowed)"
XW_KSVgWSSA,"Bi-Racial Presenter Interviews White Nationalist",58s,"2022-08-01T16:00:19Z",""
NrJSx_N9kpI,"Found Dead In Her Bathtub: Who Killed The Neglectful Mother? (True Crime Documentary) | Real Stories","45m 41s","2022-07-31T16:00:12Z",""
"Gz-3NyPqMt8","Secrets of the Oil Industry (Big Oil in Africa Documentary) | Real Stories","1h 40m 46s","2022-07-30T16:00:06Z",""
EGJir7V8S10,"THIS MAN LOVES BAKED BEANS SO MUCH HE TURNED HIS HOUSE INTO A MUSEUM #SHORTS",47s,"2022-07-29T16:25:04Z",""
RtgIvWxZUwM,"The Fascinating Homes of Creative Council Tenants (Eccentric Homes Documentary) | Real Stories","45m 34s","2022-07-28T16:00:14Z",""
ug9cpcRlZKY,"Are You Scared of Tattooed People #shorts",58s,"2022-07-27T16:00:38Z",""
FxBhdoYxcgc,"How Did Sneakers Become Collectible Art? (Collector Culture Documentary) | Real Stories","1h 9m 47s","2022-07-26T16:00:08Z","9 (allowed)"
PQ1koyypEmM,"Expert Chocolatier Sculpts Chocolate Orangutan! #shorts #chocolate",50s,"2022-07-25T22:08:19Z",""
"76u6CH-o6pE","Stabbed At 17 | The Murder Of Jodie Chesney (True Crime Documentary) | Real Stories","43m 50s","2022-07-23T16:00:04Z","5 (blocked)"
jMWFTCuBrmE,"What Noise Does a Raven Make?",21s,"2022-07-22T16:00:34Z",""
"B-ePCiUgD0Y","American Heretics: The Politics of the Gospel (Christian Nationalism Documentary) | Real Stories","1h 27m 9s","2022-07-21T16:00:15Z",""
"un-iv2XP1qc","Why Is Paying Taxes So Complicated? (USA Income Tax Documentary) | Real Stories","1h 19m 1s","2022-07-19T16:00:29Z","9 (allowed)"
KiPxNDgTH2w,"Documentary presenter can't handle A MONTH on the streets",57s,"2022-07-18T16:00:11Z",""
LzFB2hHiYJI,"The Troublemaker: The Story Of Extinction Rebellion (Climate Crisis Documentary) | Real Stories","56m 47s","2022-07-17T16:00:08Z","2 (blocked)"
eD4zBopqFKU,"Dispatches From Elsewhere: The Game That Went Too Far? (Jejune Institute Documentary) | Real Stories","1h 30m 29s","2022-07-16T16:00:27Z","9 (allowed)"
Y8Y3pyaoWz4,"CHESS HUSTLERS VS MATHS GENIUS #shorts",56s,"2022-07-15T16:30:05Z",""
E9Czp6WM7gY,"I Was A Death Row Executioner #shorts",58s,"2022-07-13T19:00:10Z",""
6XNaC7LLLnM,"The Philippines to Hong Kong: Domestic Workers Abroad (Human Interest Documentary) | Real Stories","1h 43m 16s","2022-07-12T16:00:04Z","9 (allowed)"
6uOXQqJRsG4,"15-year-old sentenced to 170 YEARS in prison | Bite-Sized Documentary #shorts",57s,"2022-07-11T16:00:02Z",""
"-gyfBND7qHA","The Albuquerque Bank Robbery (True Crime Documentary) | Real Stories","49m 38s","2022-07-10T16:00:01Z","1 (blocked)"
"3Mr8RQdpy-k","Damilola Taylor: Murder of a Ten Year Old (True Crime Story) | Real Stories","45m 55s","2022-07-09T16:00:02Z",""
F8JcxDWkxS0,"Addie The ""Adorable"" Armed Robber #shorts",58s,"2022-07-08T16:00:07Z",""
ed78dYHQ9eU,"Game Face: A Transgender MMA Fighter & Gay Basketball Player Share Their Stories | Real Stories","1h 34m 48s","2022-07-07T16:00:23Z",""
"xG15nsfF3-4","Poverty & Justice: Fight For Cleveland (American Society Documentary) | Real Stories","1h 14m 5s","2022-07-03T16:00:30Z",""
LPWGqvbLxpM,"The Kidnappings of Joann Katrinak And Her Son (True Crime Documentary) | Real Stories","50m 42s","2022-07-02T16:00:19Z","1 (blocked)"
Xfire4V7ZPo,"Hate Crime Left Me Paralyzed From Waist Down (Healing Documentary) | Real Stories","1h 16m 58s","2022-06-30T16:00:18Z",""
GLHYGXgsJNo,"Ireland's Terrifying Gangsters (Criminal Underworld Documentary) | Real Stories","1h 29m 54s","2022-06-26T16:00:09Z",""
yBUieHV5g5k,"Dixie Mafia & A Crooked Cop: FBI Stories BACK-TO-BACK (True Crime double bill) | Real Stories","1h 39m 23s","2022-06-25T16:00:33Z","1 (blocked)"
zH6ZftNXgTg,"Reggie Yates Goes To Hollywood: TV's Black Renaissance | Real Stories","47m 4s","2022-06-23T16:00:26Z","63 (blocked)"
