"Video ID",Title,Length,Published
4pTzZbaObSU,"The downfall of Elizabeth Holmes: Is the young billionaire going to jail? | 60 Minutes Australia","19m 1s","2022-07-17T11:52:29Z"
ditHW7qb2WA,"How a solo sailor survived getting stranded in shark-infested waters | 60 Minutes Australia","22m 15s","2022-07-17T11:23:17Z"
TkbrbiGty90,"Have scientists found the breakthrough cure for depression? | 60 Minutes Australia","13m 48s","2022-07-14T14:00:12Z"
LfqedpNaTsg,"SNEAK PEEK: The Bloody Lie | 60 Minutes Australia",56s,"2022-07-14T07:30:03Z"
fkAV3vvngeQ,"SNEAK PEEK: Solo Survivor | 60 Minutes Australia",51s,"2022-07-13T14:00:21Z"
_pyMer8TvMM,"Hostage or mastermind? The bizarre kidnapping of a British glamour model | 60 Minutes Australia","21m 50s","2022-07-12T06:11:26Z"
5LRBqjtUMBk,"The chilling truth about Cannabis Psychosis | 60 Minutes Australia","14m 21s","2022-07-12T04:40:40Z"
eAbM9lyccCo,"The Staircase: Kathleen Peterson's family 'retraumatised' by HBO series | 60 Minutes Australia","5m 58s","2022-07-12T01:39:40Z"
i2AE89ZTNHQ,"Prescription Playground: Why so many children are now taking ADHD drugs | 60 Minutes Australia","14m 39s","2022-07-10T14:00:16Z"
ICCgzEs0ces,"The Staircase: Who or what really killed Kathleen Peterson? | 60 Minutes Australia","22m 34s","2022-07-10T12:21:52Z"
"MBbtS9c7I-g","SPECIAL INVESTIGATION: Astonishing twist in tragic hit and run case | 60 Minutes Australia","22m 43s","2022-07-10T11:41:50Z"
0DJT300a9XY,"Anorexia Online: The sickening sites encouraging teenage eating disorders | 60 Minutes Australia","14m 2s","2022-07-07T14:00:00Z"
UmSwzK8TpYI,"SNEAK PEEK: Road to Ruin | 60 Minutes Australia",1m,"2022-07-07T06:34:50Z"
Cgr0zaxm16o,"SNEAK PEEK: The Staircase | 60 Minutes Australia",56s,"2022-07-06T07:30:01Z"
k5peuTQhESE,"The touching story behind Billy Joel's 'Lullabye' | 60 Minutes Australia","3m 5s","2022-07-06T04:47:16Z"
aCCvacXoftw,"How the Beatles inspired Billy Joel to follow his passion for music | 60 Minutes Australia","3m 56s","2022-07-05T07:32:03Z"
"LWt-0CwZxSE","Billy Joel reveals why he stopped releasing music | 60 Minutes Australia","5m 21s","2022-07-05T00:36:16Z"
"QhnU-EO6_aY","Why Australia could face its first military threat since World War II | 60 Minutes Australia","5m 1s","2022-07-03T20:30:03Z"
M4nXhd7cPs0,"Feelin' Alright: Piano man Billy Joel's remarkable transformation | 60 Minutes Australia","16m 59s","2022-07-03T11:58:08Z"
EneDjQNuD3k,"China's new target in the battle to control the Pacific | 60 Minutes Australia","28m 45s","2022-07-03T11:33:05Z"
ndaQkVBJxwk,"The Debate: Shocking drug revelations of truck drivers revealed | 60 Minutes Australia","15m 18s","2022-07-02T16:00:23Z"
RkdkvU9UcFk,"Is Papua New Guinea the next country in China's sights? #Shorts | 60 Minutes Australia",44s,"2022-07-01T07:51:33Z"
5ig_efgMZFk,"Billy Joel is back #Shorts | 60 Minutes Australia",51s,"2022-07-01T06:38:14Z"
husfiyBo9F8,"Meet the Aussie men challenging gender stereotypes | 60 Minutes Australia","13m 24s","2022-06-30T14:00:32Z"
zvGth9ncpMw,"SNEAK PEEK: Feelin' Alright | 60 Minutes Australia",55s,"2022-06-30T07:59:08Z"
Wx2fzXHSZF8,"Baby left abandoned in a box begins search for her mother 30 years later | 60 Minutes Australia","14m 51s","2022-06-29T14:00:22Z"
Te8NAGhMmes,"SNEAK PEEK: Too Close to Home | 60 Minutes Australia","1m 5s","2022-06-29T07:35:59Z"
W61lOqbOXUM,"The abortion doctors risking their lives for women's rights | 60 Minutes Australia","14m 37s","2022-06-28T02:52:47Z"
RMg06D_3wtQ,"How a horrific freak accident left a little boy with no hands and feet | 60 Minutes Australia","16m 32s","2022-06-27T05:10:33Z"
_uqLkcxbQLA,"How old is too old to have children? Meet one of the world's oldest mums | 60 Minutes Australia","15m 28s","2022-06-25T18:00:58Z"
JJegXlk7Vmk,"KISS EXCLUSIVE: ""Those were really scary times."" | 60 Minutes Australia","4m 15s","2022-06-23T01:37:20Z"
63UazRXmr1c,"The 'plea bargain' loophole setting the most depraved criminals free | 60 Minutes Australia","14m 12s","2022-06-22T18:00:37Z"
eLX910UgTe0,"Backstage with KISS on their last ever world tour | 60 Minutes Australia","4m 57s","2022-06-22T04:56:27Z"
"M0-NGScwwUQ","Depraved terrorist or innocent man? The story of Mamdouh Habib | 60 Minutes Australia","20m 38s","2022-06-21T15:00:36Z"
"9QyQmL-mlV0","The French Paradox: How rich food and wine could help you stay healthy | 60 Minutes Australia","13m 7s","2022-06-20T19:30:01Z"
b56MpwyrAhI,"EXPOSED: The shocking lengths truck drivers take to meet deadlines | 60 Minutes Australia","17m 1s","2022-06-20T06:18:36Z"
AoAtBCUM_D0,"Meet the real Erin Brockovich | 60 Minutes Australia","14m 20s","2022-06-18T17:00:08Z"
D1eFkwZcqZI,"KISS lead guitarist Tommy Thayer reveals the secrets to the band’s success | 60 Minutes Australia","4m 27s","2022-06-17T03:29:05Z"
O0bYFbeDDJc,"Remains of ancient species could rewrite the history of human evolution | 60 Minutes Australia","13m 21s","2022-06-16T17:00:26Z"
pK8S9YzJPvc,"""We all lost"": The impact of the Johnny Depp-Amber Heard verdict | 60 Minutes Australia","4m 5s","2022-06-16T07:28:18Z"
KC5N9hvORbk,"Exploring the city of love with Kiss guitarist Paul Stanley | 60 Minutes Australia","3m 27s","2022-06-15T02:59:02Z"
Otov98ErJgo,"How these mates survived 46 days lost at sea in a tiny boat | 60 Minutes Australia","14m 52s","2022-06-12T17:45:01Z"
