Video ID,Title,Length,Published
C_0XEIFGK5o,The Big Four - Accounting firms under scrutiny | DW Documentary,42m 25s,2022-07-28T16:00:16Z
pfdC8jUV4HY,Germany's Sinti and Roma: A history of discrimination | DW Documentary,42m 26s,2022-07-27T16:00:38Z
9Fuumv8xfK4,How big companies cash in on indigenous knowledge and biological resources | DW Documentary,28m 6s,2022-07-26T16:20:00Z
NyYrioVAEy4,Russians in Georgia | DW Documentary,28m 27s,2022-07-25T16:30:07Z
g4V32eDYUPY,Spain: The end of 'dwarf bullfighting'? | DW Documentary,12m 26s,2022-07-25T16:05:16Z
9HPdYBKh-0k,The meaning of money and financial independence / HER - Women in Asia (Season 2) | DW Documentary,12m 32s,2022-07-24T16:00:05Z
Gx-ljHZsSRU,Killing for Assad - How one video revealed a mass murder | DW Documentary,28m 26s,2022-07-22T16:00:10Z
J7JCEzWAItU,Digitization and the power of technology / HER - Women in Asia (Season 2) | DW Documentary,12m 32s,2022-07-22T14:30:07Z
KKcbuR84KdM,India's hysterectomy scandal | DW Documentary,42m 26s,2022-07-21T16:00:10Z
CABpffhtJao,Women in business - Being my own boss / HER - Women in Asia (Season 2) | DW Documentary,12m 32s,2022-07-20T16:00:06Z
_LRsZ6TUCCA,Preppers: Sweden bracing for the worst | DW Documentary,28m 27s,2022-07-19T16:00:18Z
a4eg-FNv4LQ,Swimming the length of the Danube | DW Documentary,12m 26s,2022-07-18T16:00:00Z
HHf8t982RWY,Meltdown in the Himalayas - The politics of climate change | DW Documentary,25m 56s,2022-07-17T16:00:18Z
228zX56NCNk,Floods drought and the consequences of extreme weather | DW Documentary,42m 26s,2022-07-16T16:00:01Z
22_IFGdNoTg,Germany's flood catastrophe one year on | DW Documentary,42m 26s,2022-07-15T16:00:02Z
BhsgyOGMs6o,Turkey: Erdoğan's political prisoners | DW Documentary,42m 26s,2022-07-14T16:00:15Z
SQ8SwwAVA0c,Art and freedom - Finding creative expression / HER - Women in Asia (Season 2) | DW Documentary,12m 32s,2022-07-13T16:00:13Z
jvRbFT56xB8,Preppers in the USA - Emergency supplies survival kits and bunkers | DW Documentary,12m 26s,2022-07-11T16:00:33Z
LQvQ9FAJVYc,Stories of motherhood / HER - Women in Asia (Season 2) | DW Documentary,12m 32s,2022-07-10T16:00:08Z
_K3NtHCdGwc,Leonardo da Vinci’s mysterious masterpiece | DW Documentary,42m 26s,2022-07-08T16:00:31Z
rVH9J9uuySc,Diabetes - A lucrative disease | DW Documentary,42m 26s,2022-07-07T16:00:27Z
MgXmSaRdQOc,A notorious cult - The fight for justice against Colonia Dignidad | DW Documentary,42m 26s,2022-07-06T16:00:13Z
5L8ZkwePFZ8,Zero-Covid strategy in China | DW Documentary,12m 27s,2022-07-04T16:00:06Z
6Zi4hp8hJRM,Faith power manipulation - The secrets of the Opus Dei sect | DW Documentary,42m 26s,2022-06-30T16:00:08Z
RTzIQ0BRO8c,Sex drugs and death - A journey with a tragic end | DW Documentary,42m 26s,2022-06-29T16:00:15Z
sbskYQ1v7Ao,Hong Kong: Keeping free press alive despite fear and pressure | DW Documentary,12m 26s,2022-06-27T16:00:23Z
XXA1GiQ-UeY,Brexit and British fishermen | DW Documentary,28m 26s,2022-06-21T16:00:15Z
iTRUeSQsAl4,Uvalde and gun control | DW Documentary,12m 26s,2022-06-20T16:00:32Z
pIt9aLmzk4E,The rise of a global company - From the microscope to the moon landing | DW Documentary,25m 55s,2022-06-19T16:00:19Z
4Iuyo0leZQg,Working the land for our climate - Healthy soil healthy world | DW Documentary,28m 25s,2022-06-14T16:00:06Z
xr-mAK-bhm8,The last of their kind: Turkey's nomads | DW Documentary,12m 27s,2022-06-13T16:00:29Z
